,Date,Exercise,Variation,Weight,Count
0,11/7/2023,Muscle up,/,0,3
1,,Front lever,one leg,-10,5
2,,,,,14
3,,,,,18
4,,Pull up,Archer,0,9
5,,,,,5
6,,Deadlift,/,110,6
7,,,,,6
8,,Face pull,/,10.2,10
9,,,,10.2,10
10,,L sit,parallettes,0,19
11,,,,,10
12,12/7/2023,Bench press,/,40,10
13,,,,,10
14,,,,,10
15,,Hip thrust,/,110,6
16,,,,110,6
17,,,,110,6
18,,Reverse barbell lunge,/,40,10
19,,,,,10
20,,,,60,10
21,,Jumping rope,/,,60
22,,L sit,parallettes,,20
23,,,,,16
24,16/7/2023,Bench press,/,80,6
25,,,,,6
26,,,,,6
27,,Overhead press,/,50,5
28,,,,,5
29,,,,,61
30,,L sit,parallettes,0,22
31,,,,,12
32,,Jumping rope,/,,80
33,17/7/2023,Front lever,one leg,0,7
34,,,,0,9
35,,,,0,5
36,,,,0,3
37,,Deadlift,/,110,6
38,,,,,6
39,,,,,6
40,,Muscle up,/,0,5
41,,,,,3
42,,Pull up,/,,7
43,,Planche,Tuck,,8
44,,L sit,parallettes,,18
45,,Jumping rope,/,,113
46,18/7/2023,Squat,/,110,5
47,,,,110,5
48,,,,100,6
49,,Hip thrust,/,120,6
50,,,,120,6
51,,,,,8
52,,Calf raise,/,5,8
53,,,,,6
54,,,,,10
55,,Inclined bench press,/,60,6
56,,,,,6
57,,Jumping rope,/,,52
58,20/7/2023,Planche,Tuck,,3
59,,,,,5
60,,,,,3
61,,Bench press,/,82.5,6
62,,,,,6
63,,,,,6
64,,,,,6
65,,Overhead press,/,50,6
66,,,,,5
67,,,,,6
68,,Dip,Bar,0,12
69,,,,,15
70,,L sit,parallettes,0,22
71,21/7/2023,Front lever,one leg,0,8
72,,,,B,7
73,,,,B,2
74,,Muscle up,/,0,3
75,,,,0,3
76,,Pull up,/,0,13
77,22/7/2023,Squat,/,90,8
78,,,,,8
79,,,,,8
80,,Hip thrust,/,100,8
81,24/7/2023,planche,tuck,0,12
82,,,,,4
83,,,,,5
84,,Bench press,/,85,6
85,,,,,6
86,,,,,5
87,,,,,3
88,,Overhead press,/,50,6
89,,,,,6
90,,,,,5
91,,Dip,ring,0,10
92,,,,,10
93,,,,,10
94,,Dead hang,/,0,100
95,26/7/2023,Front lever,one leg,,8
96,,,,,10
97,,,,,10
98,,,,,8
99,,Muscle up,/,0,6
100,,Pull up,/,0,7
101,,L sit,ring,0,8
102,29/7/2023,Planche,Tuck,0,6
103,,,,,6
104,,,,,6
105,,Bench press ,/,,5
106,,,,,5
107,,,,,4
108,,,,,10
109,,Handstand pushup,Back to Wall,,3
110,,,,,4
111,,,,,4
112,30/7/2023,Front lever,Advanced tuck,,15
113,,,,,11
114,,,,,10
115,,Front lever,tuck,,13
116,,,,,11
117,31/7/2023,Planche,tuck,,5
118,,,,,10
119,,,,,4
120,,,,,7
121,,Bench press ,/,87.5,3
122,,,,,3
123,,,,,3
124,,,,,3
125,,,,,3
126,,Dip,/,25,7
127,,,,,7
128,,,,,7
129,2/8/2023,Front lever,/,,14
130,,,,,15
131,,,,,9
132,,Squat,/,,10
133,,,,,10
134,,,,,8
135,,,,,
136,,Back lever,/,B,11
137,,,,,20
138,,,,,15
139,,Hyperextension ,/,20,8
140,,,,15,8
141,,,,,12
142,3/8/2023,Tuck planche,/,,15
143,,,,,10
144,,,,,12
145,,Overhead press ,/,55,4
146,,,,,3
147,,,,,3
148,,,,,3
149,,,,,3
150,,Bench press ,/,95,1
151,5/8/2023,Front lever ,Straddle,,8
152,,,,,8
153,,,,,6
154,,Front lever,/,,9
155,,Hip thrust,/,100,8
156,,,,130,6
157,,,,,6
158,,,,,6
159,,Back lever,/,P,10
160,6/8/2023,Planche,tuck,,10
161,,Planche,Advanced tuck,B,10
162,,,,,8
163,,Bench press ,/,87.5,3
164,,,,,3
165,,,,,3
166,,,,,3
167,,,,,3
168,,,,,3
169,,,,,3
170,,,,,3
171,,,,,3
172,,,,,3
173,,Pull up,/,,12
174,,Dip,/,40,6
175,,,,,4
176,7/8/2023,Squat,/,110,5
177,,,,,5
178,,,,,5
179,,,,,5
180,,Pull up,/,20,5
181,,,,15,6
182,,Overhead press ,/,40,10
183,,,,,10
184,9/8/2023,Planche,tuck,,5
185,,,,,5
186,,,,,12
187,,Front lever,advanced tuck,,8
188,,,,,8
189,,,,,8
190,,Pull up,/,20,5
191,,,,15,6
192,,,,10,8
193,10/8/2023,Bench press ,/,90,3
194,,,,,3
195,,,,,3
196,,,,,3
197,,,,,2
198,,Dip,/,30,6
199,,,,,6
200,,,,,8
201,,Overhead press,/,50,5
202,,,,,10
203,,,,,8
204,16/8/2023,Planche,Advanced tuck,P,8
205,,,,,10
206,,,,,5
207,,Back lever,/,B,13
208,,,,B,15
209,,,,P,17
210,17/8/2023,Front lever,Straddle,,8
211,,,,,9
212,,,,,8
213,,Back lever,/,,4
214,,Bulgarian split squat,/,16,10
215,,,,,10
216,,,,,10
217,,Pull up,/,20,5
218,,,,15,6
219,,,,10,8
220,,Dragon flag,/,,15
221,,,,,10
222,22/8/2023,Planche,Tuck,,6
223,,,,,4
224,,,,P,6
225,,Bench press ,/,90,3
226,,,,,3
227,,,,,2
228,,,,80,7
229,,Dip,Bar,12,12
230,,,,12,
231,,,,12,
232,,Push up,Archer,10,
233,,Push up,Narrow,20,
234,23/8/2023,Overhead press,/,40,10
235,,,,,10
236,,,,,10
237,24/8/2023,Front lever,/,,2
238,,,Straddle,,6
239,,,,,6
240,,,,,5
241,,Back lever,/,P,10
242,,,,0,10
243,,One arm hold,/,0,12
244,,,,,12
245,,,,,12
246,,Pull up,L sit,,7
247,,,,,7
248,27/8/2023,Planche,Advanced tuck,,5
249,,,,P,8
250,,,,,3
251,,Bench press ,/,90,3
252,,,,,3
253,,,,87.5,3
254,,,,,3
255,,,,,3
256,,Overhead press ,/,50,6
257,,,,,6
258,,,,,6
259,,,,,4
260,29/8/2023,Pull up,/,20,6
261,,,,,5
262,,,,,4
263,,Muscle up,/,,3
264,,Pull up,L sit,,7
265,30/8/2023,Planche,Advanced tuck,0,5
266,,,,,2
267,,,,P,7
268,,Squat,Atg,80,7
269,,,,80,8
270,,,,100,5
271,,Hip thrust,/,100,8
272,,,,100,8
273,,,,130,8
274,04/09/2023,Bench press ,/,85,5
275,,,,,5
276,,,,,5
277,,Muscle up,/,,4
278,,Dip,/,35,6
279,,,,,6
280,,,,,6
281,,L sit,Floor,P,15
282,,,,,15
283,05/09/2023,Squat,/,100,6
284,,,,,5
285,,,,,5
286,,,,70,5
287,,Hip thrust,/,120,8
288,,,,,8
289,,,,,8
290,8/9/2023,Planche,Advanced tuck ,0,5
291,,,,P,5
292,,,,,5
293,,Planche,Tuck,0,10
294,,Overhead press ,/,50,6
295,,L sit,/,P,19
296,,,,,20
297,9/9/2023,Front lever,Straddle,,7
298,,,/,P,5
299,,,,,4
300,,Back lever,/,0,10
301,,Muscle up,/,0,5
302,,Pull up ,One arm,P,3
303,11/9/2023,Squat,/,100,8
304,,,,,8
305,,,,,8
306,,Hip thrust ,/,110,8
307,,,,130,6
308,,,,,6
309,12/9/2023,Bench press ,/,80,5
310,,,,,6
311,,,,85,5
312,,Dip,/,35,7
313,,,,,7
314,,,,,7
315,14/9/2023,Pull up,/,20,6
316,,,,15,8
317,,,,10,10
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
